residue,element,mass,electron,radius
nQ,BCD,40.06386,22,2.514288
nP,GO,28.0101,14,2.640064
nP,GN,16.02262,9,2.640064
nP,GC,13.01864,7,2.640064
nP,BCG,39.05592,24,2.640064
nN,GO,28.0101,14,2.640064
nN,GN,17.03056,9,2.640064
nN,GC,13.01864,7,2.640064
nN,BOD,15.9994,8,2.514288
nN,BND,16.02262,9,2.514288
nN,BCG,26.03728,14,2.514288
nM,GO,28.0101,14,2.640064
nM,GN,17.03056,9,2.640064
nM,GC,13.01864,7,2.640064
nM,BSD,75.15368,41,2.640064
nL,GO,28.0101,14,2.640064
nL,GN,17.03056,9,2.640064
nL,GC,13.01864,7,2.640064
nL,BCG,57.11426,33,2.640064
nK,GO,28.0101,14,2.640064
nK,GN,17.03056,9,2.640064
nK,GC,13.01864,7,2.640064
nK,BCG,39.05592,24,2.514288
nK,BCE,31.05714,17,3.457216
nI,GO,28.0101,14,2.640064
nI,GN,17.03056,9,2.640064
nI,GC,13.01864,7,2.640064
nI,BCG,57.11426,33,2.640064
nHe,GO,28.0101,14,2.640064
nHe,GN,17.03056,9,2.640064
nHe,GC,13.01864,7,2.640064
nHe,BNE,27.02538,14,2.200016
nHe,BND,16.02262,8,2.200016
nHe,BCG,39.05592,21,2.200016
nHd,GO,28.0101,14,2.640064
nHd,GN,17.03056,9,2.640064
nHd,GC,13.01864,7,2.640064
nHd,BNE,15.01468,7,2.200016
nHd,BND,28.03332,15,2.200016
nHd,BCG,39.05592,21,2.200016
nG,GO,28.0101,14,2.640064
nG,GN,17.03056,9,2.640064
nG,GC,14.02658,8,2.640064
nF,GO,28.0101,14,2.640064
nF,GN,17.03056,9,2.640064
nF,GC,13.01864,7,2.640064
nF,BCG,39.05592,21,2.200016
nF,BCE2,26.03728,14,2.200016
nF,BCE1,26.03728,14,2.200016
nEh,GO,28.0101,14,2.640064
nEh,GN,17.03056,9,2.640064
nEh,GC,13.01864,7,2.640064
nEh,BOE2,17.00734,9,2.514288
nEh,BOE1,15.9994,8,2.514288
nEh,BCD,40.06386,22,2.514288
nE,GO,28.0101,14,2.640064
nE,GN,17.03056,9,2.640064
nE,GC,13.01864,7,2.640064
nE,BOE2,15.9994,8.5,2.82856
nE,BOE1,15.9994,8.5,2.82856
nE,BCD,40.06386,22,2.514288
nDh,GO,28.0101,14,2.640064
